# 句号	结构化日文(带/折行,{sHH}设置块,~XXXX~控制码)	现有中文(flat,供参考)
55	メモのばしょへ行こうと/	正想去便条那地方
56	どうしようか かんがえようと/	正想着该怎么办
57	03区へ向かおうと/	正想前往03区
58	してたん~1310~だけど......~180A~ねてたの？」{s06}	来着~1310~结果……~180A~你睡着了？」
59	 忠 「~1800~......なんだ ~1310~ゆめだったのか....../あー びっくりした 本当に死んだかと/~1310~おもった......」	 忠 「~1800~……什么嘛 ~1310~原来是梦啊……啊— 吓我一跳 还以为真的~1310~死了呢……」
60	~170B02~エリナ 「もう~170200~ ~1310~やーね {s15}しっかりしてよ	~170B02~艾莉娜 「真是的~170200~ ~1310~讨厌 振作点啊
61	/~0710~忠だけが たよりなんだから......」{s06}	~0710~我可全指望你了呢……」
62	エリナ 「へー......これがこんと ゲンとこから/かったやつー？/なんか おもしろいわね......」 忠 「じゃ ちょっと しうんてん してみよっか....../エリナ外みてて へんなとこあったらいってね」エリナ 「OK わかったわ」~0582~	艾莉娜 「诶——……这就是这次从阿源那儿买来的家伙？感觉挺有意思的呢……」 忠 「那 我来试着开一下看看吧……艾莉娜你看着外面 有奇怪的地方就说一声」艾莉娜 「OK 知道啦」~0582~
63	{s06}{s04}{s01}   そうぞう主をさがせ ちきゅうは危きにひんしている	   寻找创造主 地球正濒临危机
64	{s03} 忠 「よし じゃあ でんげんいれるか......	 忠 「好 那就通电吧……
65	/なんだ なんだ？ ~1805~	怎么 怎么回事？ ~1805~
66	/......え ええ？ なんだ？..........！！」~0582~~0710~~1800~~0582~エリナ 「や！？ やだー ~0710~なにこれ/ちょっと ただしー！？」	……诶 诶诶？ 怎么回事？…………！！」~0582~~0710~~1800~~0582~艾莉娜 「呀！？ 讨厌— ~0710~这是什么等等 忠——！？」
67	STAGE JUMP	STAGE JUMP
68	STAGE2	STAGE2
69	STAGE3	STAGE3
70	STAGE4	STAGE4
71	STAGE5	STAGE5
72	STAGE6	STAGE6
73	STAGE7	STAGE7
74	コンティニュモート	继续模式
75	コンティニュON	继续 ON
76	エリナ 「コンティニュフラグが1になりました」	艾莉娜 「继续标志已设为1」
77	コンティニュOFF	继续 OFF
78	エリナ 「コンティニュフラグが0になりました」	艾莉娜 「继续标志已设为0」
79	NEW GAME	NEW GAME
80	DEBUG	DEBUG
81	S1ー6	S1ー6
82	S1ー1	S1ー1
83	S1ー2	S1ー2
84	S1ー3	S1ー3
85	S1ー4	S1ー4
86	S1ー5	S1ー5
87	S10ー12	S10ー12
88	S1ー10	S1ー10
89	S1ー11	S1ー11
90	S1ー12	S1ー12
91	エリナ 「とにかく どういうことなのか ゲンに/きいてみるしかないわね」 忠 「~170002~よし ゲンのディーラーに 行こう」{s06}~10C10B~あずさ 「おにいちゃん/あずさも ~0710~行くー」{s06}	艾莉娜 「总之 到底怎么回事 只能去问问阿源了」 忠 「~170002~好 去阿源的店里吧」~10C10B~梓 「哥哥梓也 ~0710~要去—」
92	あずさ 「あれー？ しまってるよお？」 忠 「さっきまで いたのに どこ/行っちゃったんだろ......{s06}	梓 「咦——？ 关着门呢？」 忠 「刚才还在的 跑哪儿去了呢……
93	/~170001~おーい ゲン！ チャーミー？......」{s06}~108296~エリナ 「いない みたいね~108285~......」あずさ 「あれ~10824B~え？/でんき つけっはなしだよー」~108205~エリナ 「それじゃすぐに/もどって くるわね」 忠 「~170001~しょうがない....../さんほでも してこようか？」{s06}~108227~エリナ 「そうしましょ....../天気 いいし ねっ」 忠 「あずさ いくよ......」~170101~~121001~あずさ 「はーい」{s06}	~170001~喂— 阿源！ 查米？……」~108296~艾莉娜 「好像不在呢~108285~……」梓 「咦~10824B~诶？灯还开着呢—」~108205~艾莉娜 「那应该马上就回来吧」 忠 「~170001~没办法……去散散步吧？」~108227~艾莉娜 「就这么办……天气也好 对吧」 忠 「梓 走吧……」~170101~~121001~梓 「好—」
94	エリナ 「ん？」{s06}	艾莉娜 「嗯？」
95	みる	查看
96	ディーラー	经销店
97	エリナ	艾莉娜
98	はなす	交谈
99	メタルスレイダーのこと	合金月神的事
100	あずさ	梓
101	行く	前往
102	~170002~エリナ 「ああ そうね そろそろ もどってるかもね？」 忠 「よし ~0710~行ってみよう」{s06}	~170002~艾莉娜 「啊 也是 差不多该回来了吧？」 忠 「好 ~0710~去看看吧」
103	ふりかえる	回头看
104	 忠 「~170102~えーっと......」{s06}	 忠 「~170102~呃——……」
105	あずさ 「~1801~？ /どしたの お兄ちゃん？」{s06}	梓 「~1801~？ 怎么了哥哥？」
106	うみ	大海
107	おかの向こう	山丘那边
108	エアポート	机场
109	おやのこと	父母的事
110	 忠 「~170101~ちょっと まてよ......」{s06}	 忠 「~170101~等一下……」
